zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35124,33.31347,-86.76317,Pelham,AL,Alabama,Shelby,United State Of America,US,USA,Location
35125,33.62576,-86.29432,Pell City,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35126,33.73147,-86.65417,Pinson,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35127,33.49167,-86.97639,Pleasant Grove,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35128,33.54888,-86.3428,Pell City,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35130,33.6337,-87.13403,Quinton,AL,Alabama,Walker,United State Of America,US,USA,Location
35131,33.73377,-86.18611,Ragland,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35133,33.81871,-86.59957,Remlap,AL,Alabama,Blount,United State Of America,US,USA,Location
35135,33.61658,-86.19961,Riverside,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35136,32.87839,-86.2957,Rockford,AL,Alabama,Coosa,United State Of America,US,USA,Location
35139,33.71143,-86.97048,Sayre,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35143,33.08733,-86.55295,Shelby,AL,Alabama,Shelby,United State Of America,US,USA,Location
35146,33.79557,-86.43192,Springville,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35147,33.41511,-86.52928,Sterrett,AL,Alabama,Shelby,United State Of America,US,USA,Location
35148,33.75635,-87.04551,Sumiton,AL,Alabama,Walker,United State Of America,US,USA,Location
35149,33.24802,-86.1969,Sycamore,AL,Alabama,Talladega,United State Of America,US,USA,Location
35150,33.18527,-86.2417,Sylacauga,AL,Alabama,Talladega,United State Of America,US,USA,Location
35151,33.09298,-86.37207,Sylacauga,AL,Alabama,Talladega,United State Of America,US,USA,Location
35160,33.37483,-86.08659,Talladega,AL,Alabama,Talladega,United State Of America,US,USA,Location
35171,32.88214,-86.73965,Thorsby,AL,Alabama,Chilton,United State Of America,US,USA,Location
35172,33.84469,-86.6974,Trafford,AL,Alabama,Blount,United State Of America,US,USA,Location
35173,33.65046,-86.56422,Trussville,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35175,34.43726,-86.51699,Union Grove,AL,Alabama,Marshall,United State Of America,US,USA,Location
35176,33.48535,-86.49824,Vandiver,AL,Alabama,Shelby,United State Of America,US,USA,Location
35178,33.41985,-86.39878,Vincent,AL,Alabama,Shelby,United State Of America,US,USA,Location
35179,34.26849,-86.96695,Vinemont,AL,Alabama,Cullman,United State Of America,US,USA,Location
35180,33.82638,-86.83547,Warrior,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35183,33.0159,-86.35077,Weogufka,AL,Alabama,Coosa,United State Of America,US,USA,Location
35184,33.11479,-87.13924,West Blocton,AL,Alabama,Bibb,United State Of America,US,USA,Location
35186,33.25696,-86.51426,Wilsonville,AL,Alabama,Shelby,United State Of America,US,USA,Location
35187,33.08051,-86.8858,Wilton,AL,Alabama,Shelby,United State Of America,US,USA,Location
35188,33.18211,-87.17021,Woodstock,AL,Alabama,Bibb,United State Of America,US,USA,Location
35203,33.51867,-86.80972,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35204,33.52208,-86.83984,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35205,33.49496,-86.80825,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35206,33.56925,-86.71339,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35207,33.56613,-86.82296,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35208,33.49693,-86.87928,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35209,33.46534,-86.81159,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35210,33.54518,-86.66549,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35211,33.4501,-86.87147,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35212,33.54736,-86.75296,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35213,33.50658,-86.74285,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35214,33.57688,-86.89186,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35215,33.64919,-86.70587,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35216,33.4187,-86.78667,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
